File Path,Piece Tital,Composer
ein_deutsch_requeim_45_7_(c)petri,"Brahms: Ein deutsches Requiem, Op.45 - 7. Chor: &quot;Selig sind die Toten, die in dem Herrn sterben&quot;",Brahms
hungarian_dance_2_(c)yogore,Johannes Brahms - Hungarian Dance No. 2 - Allegro non assai - Vivace,Brahms
concerto_2_21_2_(c)finley,F. CHOPIN:Concerto no.2 op.21 - II Larghetto - Krystian ZIMERMAN (1999 pianist and conductor),Chopin
grand_march_66_(c)yogore,Jedi temple march loop [marching sound edit],
presto_posth_(c)lefeldt,"Prelude in A flat major, Op. posth.: Presto con leggierezza",
hungarian_mass_hosanna_(c)blondel,Hungarian Priest Sings Beautiful Catholic Song,
sonata_42_(c)hisamori,Sonata in G minor RV 42 - Antonio Vivaldi,
mazurka_59_1_(c)yogore,"Martha Argerich, Mazurka Op 59 No 1, Chopin Competition 1965",Chopin
sonata_122_4_(c)yogore,"Sonata for Piano 4-hands in C Minor, Op. 122: IV. Alla Tarantella",
sonate_2-pianos_34b_3_(c)lefeldt,"Sonata for 2 Pianos in F Minor, Op. 34b: III. Scherzo (Allegro) (Live)",
polonaise_posth_71_3_(c)dery,"Vladímir Áshkenazi,Polonaise in F minor, Op  71, No  3, Chopin",Chopin
quartet_41-1_2_(c)onclassical,"Robert Schumann - String Quartet No.1, Op. 41/1 (with score)",Schumann
fugue_126_5_(c)yogore,Robert Schumann - 7 Klavierstücke in Fughettenform op. 126 [With score],Schumann
hungarian_dance_18_(c)yogore,Johannes Brahms - Hungarian Dance No. 18 - Molto Vivace,Brahms
sonata_120_2_(c)yogore,"Johannes Brahms - Clarinet Sonata in E flat major, Op 120 No 2 (score)",Brahms
nocturne_48_1_(c)unknown,Chopin - Nocturne Op. 48 No. 1,Chopin
waltzes_39_9_(c)yogore,"Tchaikovsky : Waltz Op. 39, No. 9",
impromptu_D946_3_(c)lefeldt,[Alfred Brendel] Schubert: Drei Klavierstücke -- D946,Schubert
hungarian_dance_21_(c)yogore,Johannes Brahms - 21 Hungarian dances FULL,Brahms
strings_13-1_(c)onclassical,"Mozart - String Serenade No.13 &quot;Eine Kleine Nachtmusik&quot; in G Major, KV525 - 1st Movement",
ballade_10_1_(c)dery,"Brahms: 4 Ballades, Op.10 (Kovacevich, Michelangeli, Tiberghien, Zimerman)",Brahms
waltzes_39_16_(c)yogore,Brahms - 16 Waltzes Op. 39,Brahms
march_606_(c)yogore,"Sviatoslav Richter - Schubert - March in E major, D 606",Schubert
mazurka_7_1_(c)yogore,Chopin Mazurka Op.7 No.1 By Arthur Rubinstein (24/154),Chopin
fantasie_17_1_(c)oguri,"Schumann: Fantasie in C, Op.17 (Andsnes)",Schumann
sonata_53_1_(c)yogore,Beethoven - Waldstein Sonata (1st mvmt),Beethoven
